timestamp,track_id,event,details,image_path
2026-09-21T17:52:08,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:21.,captured/zone/zone_exit_person_20_20260921_175208_910089.jpg
2026-09-21T17:52:09,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175209_142568.jpg
2026-09-21T17:52:10,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:00.,captured/zone/zone_exit_person_20_20260921_175210_951264.jpg
2026-09-21T17:52:11,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175211_186500.jpg
2026-09-21T17:52:13,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:00.,captured/zone/zone_exit_person_20_20260921_175213_052291.jpg
2026-09-21T17:52:13,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175213_286168.jpg
2026-09-21T17:52:29,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:15.,captured/zone/zone_exit_person_20_20260921_175229_354434.jpg
2026-09-21T17:52:29,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175229_732862.jpg
2026-09-21T17:52:32,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:01.,captured/zone/zone_exit_person_20_20260921_175232_618880.jpg
2026-09-21T17:52:32,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175232_698975.jpg
2026-09-21T17:52:35,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:01.,captured/zone/zone_exit_person_20_20260921_175235_769174.jpg
2026-09-21T17:52:35,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175235_851398.jpg
2026-09-21T17:52:37,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:00.,captured/zone/zone_exit_person_20_20260921_175237_781818.jpg
2026-09-21T17:52:38,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175238_189085.jpg
2026-09-21T17:52:40,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:01.,captured/zone/zone_exit_person_20_20260921_175240_722174.jpg
2026-09-21T17:52:43,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175243_280010.jpg
2026-09-21T17:52:43,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:00.,captured/zone/zone_exit_person_20_20260921_175243_789943.jpg
2026-09-21T17:54:32,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175432_975246.jpg
2026-09-21T17:54:33,20,ZONE_EXIT,Person exited monitoring zone; dwell=00:00.,captured/zone/zone_exit_person_20_20260921_175433_228174.jpg
2026-09-21T17:54:35,20,ZONE_ENTRY,Person entered monitoring zone.,captured/zone/zone_entry_person_20_20260921_175435_035249.jpg
